m2011.3,,,,,,,,只增不减,注释,坏帐
,2,,,,,,,,a,0
,,5,蛋炒饭,,,,,,a,0
,,,,2,刀片,,,,a,0
,,,,2,透明胶,,,,a,0
,,,,6,三个小电池,270,2500,2785,a,0
,,10,麻辣烫,,,,,,a,0
,3,,,,,,,,a,0
,,5,担担面,,,,,,a,0
,,4,馅饼 鸡蛋饼,,,251,,,a,0
,4,,,,,,,,a,0
,,4,鸡肉肉夹馍,,,,,,a,0
,,,家常,,,,,,a,0
,5,,汉拿方,,,,,,a,0
,,,家常,,,,,,a,0
,6,,,,,,,,a,0
,,10,土豆丝盖饭,,,,,,a,0
,,,,5,马桶抽子,,,,a,0
,,,,10,袜子,,,,a,0
,,6,鸡蛋炒饼,,,216,,,a,0
,7,,,,,,,,a,0
,,4,肉夹馍,,,,,,a,0
,,,稀饭,,,212,,,a,0
,8,,,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,,,,9.5（10）,饭盒,196,,,a,0
,9,,,,,,,,a,0
,,1.5,包子,,,,,,a,0
,,3,烤肠,,,191.5,,,a,0
,10,,,,,,,,a,0
,,6,果子，肉馍,,,185.5,,,a,0
,12,,,,,,,,a,0
,,,,35,键盘,,,,a,0
,,,,30,栗子,,,,a,0
,13,,,,,,,,a,0
,,,,10,键盘,,,,a,0
,14,,,,,,,,a,0
,,8,西鸡蛋盖饭,,,,,,a,0
,,2,酒鬼花生,,,,,,a,0
,,,,155,交通信用卡,100.5,2345,,a,0
,15,,,,,,,,a,0
,,3,烤面筋,,,,,,a,0
,,4,香肠,,,,,,a,0
,16,,,,,,,,a,0
,,6,炒饼,,,,,,a,0
,17,,,,,,,,a,0
,,2.8,豆脑油条,,,,,,a,0
,,6,炒饭,,,78.7,,,a,0
,18,,,,,,,,a,0
,,2.7,豆脑油条-0.1,,,,,,a,0
,,12,苜蓿肉盖饭,,,,,,a,0
,19,,,,,,,,a,0
,,10,鸡蛋炒黄瓜,,,,,,a,0
,20,,,,,,,,a,0
,,7,蛋炒饭,,,,,,a,0
,,,,20,挂号,,,,a,0
,,,,10.5,软膏,16.5,,,a,0
,21,,,,,,,,a,0
,,3,煎饼果子,,,,,,a,0
,,8,番茄炒蛋,,,,,,a,0
,,,,5.5,水杯,,,,a,0
,,,,,,0,,,a,0
,,,,,,500,1845,,a,0
,22,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,加班饺子,,,497,,,a,0
,23,,,,,,,,a,0
,,3,包子豆浆,,,,,,a,0
,,4,烤面筋,,,,,,a,0
,,15,猪头肉,,,475,,,a,0
,24,,,,,,,,a,0
,,,加班,,,,,,a,0
,25,,,,,,,,a,0
,,2.5,油条豆浆,,,,,,a,0
,,,加班,,,472.5,,,a,0
,26,,,,,,,,a,0
,,7,蛋炒饭,,,,,,a,0
,,,粥,,,,,,a,0
,,,,9.6,口罩,,,,a,0
,27,,,,,,,,a,0
,,6,蛋炒饭,,,449.9,,,a,0
,28,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,29,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,2,复印,,,,a,0
,,5,蛋炒饭,,,,,,a,0
,,,,,,430.9,,,a,0
,30,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,6,麻辣烫,,,,,,a,0
,,,,,,421.9,,,a,0
,31,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
m2011.4,,214.5,,,,,,,a,0
,1,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,,,,1,辞职报告,,,,a,0
,2,,,,,,,,a,0
,,,,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,,,,248,打卡,,,,a,0
,3,,,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,,4,香肠,,,,,,a,0
,,,,13,挡泥板,,,,a,0
,,14.3,买菜，鸡蛋,,,,,,a,0
,,,,,,111.6,,,a,0
,4,,,,,,,,a,0
,,,做饭,,,,,,a,0
,5,,,,,,,,a,0
,,4,煎饼果子,,,,,,a,0
,,,,3,地图,,,,a,0
,,10,板栗膏,,,,,,a,0
,,,,15,理发,,,,a,0
,,,,whatever 结坏帐,,85,,,a,0
,6,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,5,蛋炒饭,,,,,,a,0
,,,,,,77,,,a,0
,7,,,,,,,,a,0
,,3.5,包子豆脑,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,71.5,,,a,0
,8,,,,,,,,a,0
,,3,油条豆脑-1.5,,,70,,,a,0
,,,,200,打卡,170,1545,,a,0
,9,,,,,,,,a,0
,,6,炒饼,,,,,,a,0
,,3,臭豆腐,,,,,,a,0
,,,,64.4,雨披,,,,a,0
,,,,,,96.6,,,a,0
,10,,,,,,,,a,0
,,15.9,买菜,,,80.7,,,a,0
,11,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,3,补胎,,,,,,a,0
,,3,臭豆腐,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,69.7,,,a,0
,12,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,做饭,,,,,,a,0
,,,,,,66.7,,,a,0
,13,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,做饭,,,63.7,,,a,0
,14,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,2,香肠,,,,,,a,0
,,,,,,58.7,,,a,0
,15,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,,,55.7,,,a,0
,16,,,,手续费,655.7,938,,a,0
,,,,78,鞋,,,,a,0
,,,,10,打气筒,447.2,,,a,0
,,,,10,眼镜,,,,a,0
,,,,83,新钱,,,,a,0
,,11.5,香菇炖鸡面,,,,,,a,0
,,4.77,玉带豆,,,,,,a,0
,,10,鸡蛋,,,,,,a,0
,,4,香肠,,,,,,a,0
,,,,0.2,误差,444.2,,,a,0
,18,,,,,,,,a,0
,,,,230,招商打卡,214.2,,,a,0
,19,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,5,新钱,,,,a,0
,,,,100,电费,,,,a,0
,20,,,,,,,,a,0
,,3,鸡蛋灌饼,,,103.2,,,a,0
,22,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,23.5,买菜,,,,,,a,0
,,4,馒头,,,72.7,,,a,0
,24,,,,发月钱了,,6305,8152,a,5369
,,,,2700,房租,,,,a,0
,,,,200,交通卡,,3405,,a,0
,,,,,,372.7,3105,,a,0
,25,,,,,,,,a,0
,,,,100,招商打卡,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,38,插排,,,,a,0
,26,,,,,,,,a,0
,,3,鸡蛋灌饼,,,226.7,,,a,0
,27,,,,,,,,a,0
,,2.7,鸡蛋灌饼(支援3毛),,,,,,a,0
,28,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,2,馒头,,,,,,a,0
,,17,买菜,,丢了一块,201,,,a,-1
,29,,,,,,,,a,0
,,3.5,肉夹馍,,,,,,a,0
,,,,50,音箱,,,,a,0
,,,,,,147.5,,,a,0
,30,,,,,,,,a,0
,,2.5,鸡蛋灌饼,,,145,,,外资5毛,0.5
,,4,烤肠,,,,,,a,0
,,25.5,"桃子,李子(非常难吃)",,,115.5,,,a,0
m2011.5,,254.67,,,,,,,a,0
,1,,,,,,,,a,0
,,6,蛋炒饭,,,,,,a,0
,,,,1,红包,,,,a,0
,,,,,,106.5,,,又丢了两块,-2
,2,,,3,手续费,606.5,2502,,a,0
,,6,馒头,,,,,,a,0
,,,,12,拖把,588.5,,,a,0
,3,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,5,自行车,,,,脚蹬子,0
,4,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,3,小香肠,,,,,,a,0
,,,,,,574.5,,,a,0
,5,,,,,,,,a,0
,,4,肉夹馍,,,,,,a,0
,,6,炒饭,,,,,,a,0
,,17.9,买菜,,,,,,多去1毛,-0.1
,,,,2.5,钥匙扣,,,,a,0
,,,,,,544,,,a,0
,6,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,4,电池,,,,a,0
,,4,馒头,,,,,,a,0
,,,,,,533,,,a,0
,7,,,,,,,,a,0
,,4,肉夹馍,,,,,,a,0
,,7.5,各种包子,,,,,,a,0
,,5.9,洋葱,,,,,,多去1毛,-0.1
,,10,小香瓜,,,,,,a,0
,,,,,,503.5,,,丢了两块,-2
,10,,,,,,,,a,0
,,3,鸡蛋灌饼,,,500.5,,,a,0
,11,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,1,拧车把,,,,a,0
,,,,27.2,洗衣粉,,,,a,0
,,,,2.8,牙膏,,,,a,0
,,,,,,466.5,,,a,0
,12,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,13,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,9.5,买菜,,,,,,a,0
,,,,,,451,,,a,0
,14,,,,,,,,a,0
,,4,肉夹馍,,,,,,a,0
,,2,牛奶,,,,,,a,0
,,,,,,445,,,a,0
,15,,,,,,,,a,0
,,8.3,买菜,,,,,,a,0
,,,,300,红包,,,,a,0
,,,,,,136.7,,,a,0
,16,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,2,小葱,,,,,,a,0
,,,,,,,,,a,0
,,,,200,招商打卡,,,,a,0
,,,,,,231.7,2202,,a,0
,17,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,200,招商打卡,,,,a,0
,,,,,,328.7,1902,,a,0
,18,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,4,馒头,,,,,,a,0
,,1.5,小葱,,,320,,,扔两毛,-0.2
,19,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,200,招商打卡,,,,a,0
,,,,,,317,1702,,a,0
,20,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,300,招商打卡,,,,a,0
,,,,,,14,,,a,0
,21,,,,,,,,a,0
,,,,94,手续费,,,,a,0
,,,,,发月钱了,,8621,14977,a,6825
,22,,,,,,,,a,0
,,,,300,红包,,,,a,0
,,,,,,214,8121,,a,0
,,,,1,红包,,,,a,0
,,,,2,刷子,,,,a,0
,,,,2,锅把手,,,,a,0
,,,,15,理发,,,,a,0
,,,,,,193,,,丢了一块,-1
,,,,600,交通卡,,7521,,a,0
,23,,,,,,,,,
,,3,油条豆脑,,,,,,,
,24,,,,,,,,a,0
,,3,油条豆脑,,,,,,,
,,,,50,招商打卡,140,,,a,0
,25,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,8.2,买菜,,,,,,a,0
,,4,馒头,,,,,,a,0
,,2,甜面酱,,,,,,a,0
,,,,,,119.5,,,a,-0.3
,,,,,,719.5,6921,,a,0
,26,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,300,招商打卡,416.5,,,a,0
,29,,,,,,,,a,0
,,,,80,手机卡,,,,a,0
,,19.2,买菜,,,,,,a,0
,,4,馒头,,,,,,a,0
,30,,,,,313,,,a,-0.3
,,3,油条豆脑,,,,,,a,0
,,18,买菜,,,,,,a,0
,,4,馒头,,,,,,a,0
,,,,4,电池,284,,,a,0
,31,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,,,281,,,a,0
,,,,,,781,6421,,a,0
m2011.6,,219,,,,,,,a,0
,1,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,3.5,果粒橙,,,,,,a,0
,,,,300,招商打卡,,,,a,0
,,,,,,474.5,,,a,0
,2,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,,,,,471.5,,,a,0
,3,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,4,馒头,,,,,,a,0
,,,,,,464.5,,,a,0
,,,,50,招商打卡,,,,a,0
,,,,300,招商打卡,,,,a,0
,,10,肉串,,,,,,a,0
,,14,零食,,,,,,a,0
,,,,,,90.5,,,a,0
,,,,,,1090.5,5421,,a,0
,4,,,,,,,,a,0
,,4,甜面酱,,,,,,a,0
,,0.9,大葱,,,1085.5,,,a,-0.1
,,4,地铁,,,,,,a,0
,,,,20,降搬家车费,,,,a,0
,,,,460,招商打卡,,,,6钢蹦,-6
,,,,,,597.5,,,a,0
,5,,,,,,,,a,0
,,,,,,1097.5,4921,,a,0
,,,,300,招商打卡,,,,a,0
,,10,肉串,,,,,,a,0
,,,,9,配钥匙,,,,a,0
,,,,,,784.5,,,a,6
,6,,,,,,,,a,0
,,33.8,"油,酱油",,,,,,a,0
,,,,,,750.7,,,a,0
,7,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,6.7,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,,,,,739,,,a,0
,8,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,,,,300,招商打卡,,,,a,0
,,,,,,436,,,a,0
,9,,,,,,,,a,0
,,,,10,配钥匙,,,,a,0
,,13,买菜,,,,,,a,0
,,3,馒头,,,,,,a,0
,,,,,,410,,,a,0
,10,,,,,,,,a,0
,,3,鸡蛋灌饼,,,,,,a,0
,11,,,,,,,,a,0
,,7,蛋炒饭,,,,,,a,0
,,,,4,两本书,,,,a,0
,,,,110,水卡,,,,a,0
,,4.5,麻酱,,,,,,a,0
,,,,,,281.5,,,a,0
,13,,,,,,,,a,0
,,,,3565,房租水电网费,,1356,,a,0
,,3,油条豆脑,,,,,,a,0
,,11.5,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,19.5,牛筋,,,,,,a,0
,,16,毛巾,,,,,,a,0
,,3,烤面筋,,,,,,a,0
,,1.5,皮筋,,,225,,,a,0
,14,,,,,,,,a,0
,,2,小笼包,,,223,,,a,0
,15,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,23,超市吃饭,,,198,,,a,0
,16,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,,,,,696,856,,a,0
,,,,,,,,,还钱,700
,,,,,,1396,,,a,0
,17,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,,,518,招商打卡,,,,a,0
,,,,40,内存卡,,,,a,0
,,,,4,网吧,,,,a,0
,,,,,,832,,,a,0
,19,,,,,,,,a,0
,,,,4,地铁-降,,,,a,0
,,,,1.5,停自行车,,,,a,0
,,,,5,刷碗布,,,,a,0
,,11,买菜,,,,,,a,0
,,,,3.5,洗洁精,,,,a,0
,,,,,,807,,,a,0
,20,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,22,买菜,,,782,,,a,0
,,,,,,,7356,21477,发月钱了,6500
,21,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,15,买菜,,,,,,a,0
,,,,,,765,,,a,0
,22,,,,,,,,a,0
,,1.5,菜饺,,,,,,a,0
,,3,蒜,,,,,,a,0
,,,,25,耳机,,,,a,0
,,4,炒花生,,,,,,a,0
,,,,,,731.5,,,a,0
,23,,,,,,,,a,0
,,3,油条豆脑,,,,,,a,0
,,5,买菜,,,,,,a,0
,,2,馒头,199,凉鞋,,,,a,0
,,,,,,532.5,,,a,0
,24,,,,,,,,a,0
,,,,100,招商打卡,,,,a,0
,25,,,,,,,,a,0
,,7,鸡蛋,,,,,,a,0
,26,,,,,,,,a,0
,,,,15,理发,,,,a,0
,,,,,,398,,,a,-12.5
,,,,3,香皂,,,,a,0
,,23,苹果,,,,,,a,0
,,3,烤面筋,,,,,,a,0
,,,,,,369,,,a,0
,,,,2000,交通卡,,5356,,a,0
,,,,,,869,4856,,a,0
,27,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,,,50,冰箱,,,,a,0
,,6,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,28,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,,,,,807,,,a,0
,29,,,,,,,,a,0
,,3,豆脑油条,,,804,,,a,0
,30,,,,,,,,a,0
,,,,380,招商打卡,,,,a,0
,,2.5,韭菜盒子,,,421.5,,,a,0
,31,,,,,,,,a,0
,,,,4,地铁,,,,a,0
,,3,馒头,,,,,,a,0
,,,,,,414.5,,,a,0
m2011.7,,350.9,,,,,,,a,0
,4,,,,,,,,a,0
,,1.5,韭菜盒子,,,,,,a,0
,,2,馒头,,,,,,a,0
,,10.5,买菜,,,,,,a,0
,,10,午饭,,,,,,a,0
,,,,,,390.5,,,a,0
,5,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,20,午饭,,,368.5,,,a,0
,6,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,10,午饭,,,,,,a,0
,,16.5,买菜,,,340,,,a,0
,7,,,,,,,,a,0
,,2.5,韭菜盒子,,,,,,a,0
,,10,午饭,,,,,,a,0
,,9,买菜,,,,,,a,0
,,,,,,318,,,a,0
,8,,,,,,,,a,0
,,1.5,韭菜盒子,,,,,,a,0
,,10,午饭,,,,,,a,0
,,,,,,306.5,,,a,0
,9,,,,,,,,a,0
,,,,,,1106.5,4060,,a,4
,,,,834,招商打卡,,,,500+236+98,0
,,,,,,272,,,a,0
,,15,买菜,,,,,,a,0
,,4,饼,,,,,,a,0
,,3,茉莉茶,,,,,,a,0
,,,,,,251.5,,,a,2.5
,10,,,,,,,,周日,0
,11,,,,,,,,a,0
,,2,小笼包,,,,,,a,0
,,10,午饭,60,行李包,,,,a,0
,,,,50,内裤,,,,a,0
,,12,买菜,,,,,,a,0
,,,,,,117.5,,,a,0
,,,,,,617.5,3560,,a,0
,12,,,,,,,,a,0
,,3.5,鸡蛋饼,,,,,,a,0
,,2.5,肉夹馍,,,,,,a,0
,,6,饮料,,,,,,a,0
,,20,午饭,,,,,,a,0
,,,,,,585.5,,,a,0
,13,,,,,,,,富阳出差,0
,22,,,,,,,,富阳出差,0
,23,,,,,,,,a,0
,,,,105,招商打卡,,,,a,0
,,3.5,果粒橙,,,,,,a,0
,,,,,,477,,,a,0
,24,,,,,1677,2360,,a,0
,25,,,,,,,,a,0
,,,,422,招商打卡,,,,a,0
,,,,,,1255,,,a,0
,,12.5,买菜,,,,,,a,0
,,,,15,理发,,,,a,0
,,,,,,1205.5,,,a,-22
,26,,,,,,,,a,0
,27,,,,,,,,a,0
,,9.5,买菜,2,地铁,,,,a,0
,,2,馒头,,,,,,a,0
,,7,蛋炒饭,,,,,,a,0
,,,,,,1185,,,a,0
,28,,,,,,,,a,0
,,14.5,买菜,,,,,,a,0
,,4,买饼,,,,,,a,0
,,,,,,1166.5,,,a,0
,29,,,,,,,,a,0
,,8,饺子,,,,,,a,0
,,,,12,"牙膏,水",1146.5,,,a,0
,30,,,,,,,,a,0
,,9,买菜,,,,,,a,0
,,3,花生,,,,,,a,0
,,,,,,1134.5,,,a,0
,,,,,,1334.5,2160,,a,0
,,,,500,交通卡,,1660,,a,0
,31,,,,,,,,a,0
,,20,买菜,,,,,,a,0
,,4,饼,,,,,,a,0
,,,,1.5,简历,,,,a,0
,,,,,,1309,,,a,0
m2011.8,,282.5,,,,,,,a,0
,2,,,,,,,,a,0
,,,,1,打气,,,,a,0
,,3.5,橙汁,,,,,,a,0
,,2.5,玉米,,,,,,a,0
,,2,饼,,,,,,a,0
,,4,麻辣烫,6,打印,,,,a,0
,,,,100,交通一卡通,,,,a,0
,,,,0.5,停车,,,,a,0
,,,,,,1189.5,,,a,0
,3,,,,,,,,a,0
,,3,豆脑油条,1,停车,,,,a,0
,,3,油饼,,,,,,a,0
,,3.5,桃饮料,,,,,,a,0
,,,,,,1179,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,,,,,,,,,a,0
,4,11,买菜,158,招商打卡,,,,a,0
,,2.5,冰棍,,,,,,a,0
,,,,10,停车月卡,,,,a,0
,,,,6,打印,,,,a,0
,,8.5,午饭,1,纸巾,,,,a,0
,,2,矿泉水,,,,,,a,0
,,2.5,韭菜饼子,,,,,,a,0
,,,,,,977,,,a,-0.5
,5,,,,,1477,7660,27977,发月钱了,0
,,0.5,冰棍,20,四本书,,,,a,0
,,,,,,1456.5,,,a,0
,6,,,,,,,,a,0
,,,,6,地铁,,,,a,0
,,,,200,招商打卡,,,,a,0
,7,,,,,,,,a,0
,,,,5,蚊香,,,,a,0
,,,,1,打火机,1244.5,,,a,0
,8,,,,,,,,a,0
,,2,粥,,,,,,a,0
,,6,凉面,,,,,,a,0
,9,,,,,,,,a,0
,,11,尖椒大肠,4,网吧,,,,a,0
,10,,,,,,,,a,0
,,,,106,体检,,,,a,0
,,15,买菜,,,,,,a,0
,,,,,,1087.5,,,a,-12.5
,11,,,,,,,,a,0
,,2,小笼包,1,停车,1084.5,,,a,0
,,,,,,,,,a,0
,12,,,,,,,,a,0
,,17,葡萄,250,招商打卡,,,,a,0
,,4,馒头,59,小包,,,,a,0
,,,,20,中国银行办卡,,,,a,0
,,,,15,照相,,,,a,0
,,,,6,三支笔,,,,a,0
,,,,,,713.5,,,a,0
,13,,,,,,,,a,0
,,3,豆脑油条,,,,,,a,0
,,,,16,上网,,,,a,0
,,10,麻辣烫,,,,,,a,0
,,4,雪碧,,,,,,a,0
,,,,,,680.5,,,a,0
,15,,,,,,,,a,0
,,3,豆脑油条,,,,,,a,0
,,9,面条,,,,,,a,0
,,15,买菜,,,,,,a,0
,,2,馒头,,,,,,a,0
,,1,纸巾,,,,,,a,0
,,,,,,650.5,,,a,0
,16,,,,,,,,a,0
,,2,包子,,,,,,a,0
,,10,面条,,,,,,a,0
,,2,馒头,,,,,,a,0
,17,,,,,,,,a,0
,,2,包子,,,,,,a,0
,,10,面条,,,,,,a,0
,,6.5,鸡蛋,,,,,,a,0
,,,,,,618,,,a,0
,18,,,,,,,,a,0
,,3,豆脑油条,,,,,,a,0
